life_quality_key,Country Code,Year,basic_drinking_water_rate,basic_drinking_water_rate_rural,basic_drinking_water_rate_urban,safe_drinking_water_rate,safe_drinking_water_rate_rural,safe_drinking_water_rate_urban,basic_handwashing_facilities_rate,basic_handwashing_facilities_rate_rural,basic_handwashing_facilities_rate_urban,open_defecation_rate,open_defecation_rate_rural,open_defecation_rate_urban
110,MEX,2017,98.87578129,95.30684399,99.77544665,42.67933349,,,89.79834169,83.50700895,91.38427265,1.404019929,4.388980413,0.651566353
111,IND,2017,89.09243315,86.85749469,93.50909745,,53.9328126,,67.49364379,60.0113582,82.28006598,23.46163252,32.88164804,4.845886753
112,IDN,2017,90.10462418,82.63407273,96.30163341,,,,89.07706113,84.10776794,93.19921409,9.630591727,16.35098478,4.055857645
113,IRN,2017,97.08809582,92.82899574,98.55405121,93.54765027,86.24689376,96.06052699,,,,,,0
114,EGY,2017,99.26951418,99.05982681,99.55084045,,,,89.82696928,87.65688985,92.73844818,0,0,0
115,KEN,2017,59.58415166,49.6817731,86.96201086,,,57.87737123,26.62376287,24.1740417,33.39669159,9.83545624,12.82297467,1.575632713
116,NGA,2017,72.30480126,56.73196278,88.18017193,20.60090577,16.47436949,24.80760792,32.81282331,25.00286057,40.7745095,19.83571592,30.24287722,9.226375613
117,CAN,2018,99.22363119,98.99942069,99.27482796,98.98362633,,,,,,0,0,0
118,USA,2018,99.71312112,98.91451981,99.8853986,96.96518791,,97.27501656,,,,0,0,0
119,MEX,2018,99.26913243,96.31691897,100,42.84912192,,,89.82111114,83.50700895,91.38427265,0.988233853,3.092846682,0.467200582
120,IND,2018,89.56293708,87.49959525,93.56289179,,55.5524373,,67.58940082,60.0113582,82.28006598,20.60033711,29.39049134,3.559886173
121,IDN,2018,90.88029952,83.63443268,96.73133976,,,,91.59156142,87.78260536,94.66729258,8.440377536,14.61875668,3.451329481
122,IRN,2018,97.22317738,93.16224228,98.58419638,93.69683569,86.55651124,96.08990946,,,,,,0
123,EGY,2018,99.32633211,99.15082959,99.561804,,,,89.8269186,87.65688985,92.73844818,0,0,0
124,KEN,2018,60.27174819,50.38333651,86.96642756,,,57.67425506,26.66692495,24.1740417,33.39669159,9.389470606,12.31663481,1.487317022
125,NGA,2018,74.07084579,58.36511498,89.5619413,20.96197137,16.8678677,25.00012482,32.9429398,25.00286057,40.7745095,19.44317572,30.05662961,8.974765816
126,CAN,2019,99.22164984,99.0604959,99.25827766,99.03861451,,,,,,0,0,0
127,USA,2019,99.79904438,99.29265357,99.90677154,97.14624349,,97.37112958,,,,0,0,0
128,MEX,2019,99.47726394,97.32699395,100,42.93896105,,,89.84379235,83.50700895,91.38427265,0.351365143,1.79671295,0
129,IND,2019,90.02869896,88.14126473,93.61653807,,57.10752932,,67.68782584,60.0113582,82.28006598,17.75516918,25.89933464,2.273885594
130,IDN,2019,91.64729028,84.63393876,97.16113646,,,,94.0763809,91.45744278,96.13537108,7.265787359,12.88652858,2.846801316
131,IRN,2019,97.35464541,93.49548883,98.61434155,93.84218326,86.86612871,96.11929192,,,,,,0
132,EGY,2019,99.38324098,99.24183237,99.57276755,,,,89.82823984,87.65688985,92.73844818,0,0,0
133,KEN,2019,60.95447666,51.08273845,86.97083443,,,57.68951488,26.71091571,24.1740417,33.39669159,8.94646002,11.81029495,1.399001331
134,NGA,2019,75.83888335,60.0071974,90.95445239,21.31806305,17.25992192,25.19264171,33.07116236,25.00286057,40.7745095,19.05209648,29.870382,8.723156019
135,CAN,2020,99.22181066,99.0604959,99.25827766,99.03894727,,,,,,0,0,0
136,USA,2020,99.88352668,99.67078734,99.92814447,97.32571774,,97.46727482,,,,0,0,0
137,MEX,2020,99.67956828,98.33706893,100,43.02628491,,,,,,0.096456614,0.500579219,0
138,IND,2020,90.48952503,88.78250313,93.6700363,,56.07462388,,67.78892869,60.0113582,82.28006598,14.9269267,22.40817795,0.987885014
139,IDN,2020,92.41534961,85.66796238,97.58051207,,,,94.10706813,91.45744278,96.13537108,6.106439105,11.15430047,2.242273152
140,IRN,2020,97.48263633,93.82873538,98.64448672,93.98386362,87.17574619,96.14867439,,,,,,0
141,EGY,2020,99.44017596,99.33283515,99.5837311,,,,89.83093302,87.65688985,92.73844818,0,0,0
142,KEN,2020,61.63289158,51.77997893,86.97523145,,,57.70477471,26.75592337,24.1740417,33.39669159,8.506339764,11.30395509,1.31068564
143,NGA,2020,77.60905338,61.65821003,92.35770519,21.66928927,17.65053213,25.38515861,33.19749375,25.00286057,40.7745095,18.66249807,29.6841344,8.471546222
